"tau_k","epsilon","n_trials","out_S1_mean","out_S1_se","alpha_S1_mean","alpha_S1_se","out_S2_mean","out_S2_se","alpha_S2_mean","alpha_S2_se","out_S3_mean","out_S3_se","alpha_S3_mean","alpha_S3_se","out_S4_mean","out_S4_se","alpha_S4_mean","alpha_S4_se","out_S5_mean","out_S5_se","alpha_S5_mean","alpha_S5_se","out_S6_mean","out_S6_se","alpha_S6_mean","alpha_S6_se","out_S7_mean","out_S7_se","alpha_S7_mean","alpha_S7_se","out_S8_mean","out_S8_se","alpha_S8_mean","alpha_S8_se","out_S9_mean","out_S9_se","alpha_S9_mean","alpha_S9_se","fwd_vs_myo_P_mean","fwd_vs_myo_P_se","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","fwd_vs_myo_PS_mean","fwd_vs_myo_PS_se","signal_myo_mean","signal_myo_se","signal_fwd_mean","signal_fwd_se","seed_myo_mean","seed_myo_se","seed_fwd_mean","seed_fwd_se","optimal_vs_naive_mean","optimal_vs_naive_se"
5,0.05,50,81.9448407065804,0.72168700263319,NA,NA,103.51980477454,0.883893505335833,0.5,0,101.227968155043,1.01409993437865,0.5,3.33444320434848e-17,104.726724067802,0.920926363174927,0.5,0,107.397916837111,1.47092843162705,0.5,0,104.35494676894,0.930390988552595,0.5,0,104.639366308424,0.911448132105471,0.497,0.00169633458386256,107.020569470481,1.33475587925333,0.525,0.00642857142857143,104.454155392674,0.946411069401584,0.5,0,-0.0873577593780046,0.108935002100886,-0.377347366630363,0.270774248882945,0.0992086237338336,0.119438686674401,2.67119276930865,1.01840023284134,2.38120316205629,0.796546070821076,-0.371777298862305,0.111858582052655,-0.185210915750466,0.137745724922254,5.7926013154374,0.839886399545936
5,0.2,50,83.5596102091809,0.733754926252761,NA,NA,106.243601908043,0.885303084368639,0.5,0,103.781706494276,1.01726984612189,0.5,3.33444320434848e-17,107.467797699724,0.92214883936349,0.5,0,110.10743384261,1.4649076771819,0.5,0,107.084139674507,0.931656197153704,0.5,0,107.475562236103,0.913710182494506,0.468,0.00342857142857143,109.767026532119,1.313765899029,0.507,0.00670211663185137,107.182723414949,0.946970040515057,0.5,0,0.00776453637936421,0.126635718554073,-0.340407310491211,0.273216394004772,0.0985837404426076,0.120888077789176,2.63963614288676,1.00487229606572,2.29146429601618,0.749027559643599,-0.383658025216979,0.111862643397228,-0.292838821153735,0.150761745873652,5.98532003784304,0.814465371192473
5,0.4,50,85.5641406611816,0.750180734880633,NA,NA,109.629524698255,0.888044434160457,0.5,0,106.961550704478,1.02182878835723,0.5,3.33444320434848e-17,110.872314443414,0.92473935660727,0.5,0,113.47180929756,1.45799947594586,0.5,0,110.475068718135,0.934261165690167,0.5,0,110.884553644872,0.916827841169175,0.45,0,113.153520035438,1.29828451510547,0.477,0.00657918796552541,110.584089100176,0.942701166289823,0.486,0.00495695759225642,0.0122392014580023,0.125236697796369,-0.318289262122009,0.272243618428887,0.109020382040719,0.119358722182747,2.59949485414581,0.987754252673643,2.2689663905658,0.731449856235759,-0.397245725279095,0.111770518889172,-0.300464544696377,0.145557754866718,6.1919693309601,0.801659415831506
5,0.65,50,87.8591619470869,0.770963444613303,NA,NA,113.511990294444,0.892660943860505,0.5,0,110.616833313399,1.02798117030208,0.5,3.33444320434848e-17,114.772331451087,0.929304086648226,0.5,0,117.32460561516,1.45100086852763,0.5,0,114.361133200766,0.938789270616151,0.5,0,114.940248807662,0.92667628529758,0.423,0.00355998165553632,117.092378080533,1.292354362072,0.452,0.00570713838726805,114.518514282447,0.9385658499586,0.4,0,0.16791735657447,0.130383685055147,-0.232227534627288,0.280524860705115,0.157381081680865,0.12561485615293,2.55227416407266,0.9677466452372,2.1521292728709,0.691880772944319,-0.411198250321121,0.111523690632381,-0.421734525214726,0.148554165405738,6.47554476713366,0.783116729567664
5,0.95,50,90.3468931720833,0.795892289904713,NA,NA,117.726784510087,0.899637880579284,0.5,0,114.598502868892,1.03590357488055,0.5,3.33444320434848e-17,119.001814964303,0.936381656612111,0.5,0,121.50145415824,1.44471856948595,0.5,0,118.57746159202,0.945763141383667,0.5,0,119.230580823877,0.921634199400252,0.4,0.00247435829652697,121.332661501225,1.2913201640108,0.415,0.00479157423749955,118.894804039487,0.947402208419135,0.4,0,0.228765859574149,0.114003848276859,-0.16879265701463,0.290516945866107,0.317342447467171,0.123967993019466,2.49963919393709,0.945609619453104,2.10208067734831,0.68286787647356,-0.424353372282515,0.111071677479591,-0.335776784389494,0.134262780205014,6.73415863233263,0.759629862703837
20,0.05,50,81.9448407065804,0.72168700263319,NA,NA,103.51980477454,0.883893505335833,0.5,0,101.227968155043,1.01409993437865,0.5,3.33444320434848e-17,104.726724067802,0.920926363174927,0.5,0,105.610534907889,1.25441479508252,0.5,0,104.35494676894,0.930390988552595,0.5,0,104.639366308424,0.911448132105471,0.497,0.00169633458386256,105.305675197339,1.11256443850689,0.505,0.00384654629081036,104.454155392674,0.946411069401584,0.5,0,-0.0873577593780046,0.108935002100886,-0.304859710550141,0.284418202462808,0.0992086237338336,0.119438686674401,0.883810840086535,0.818441129054548,0.666308888914398,0.576474609006019,-0.371777298862305,0.111858582052655,-0.185210915750466,0.137745724922254,4.0777070422955,0.650017932446592
20,0.2,50,83.5596102091809,0.733754926252761,NA,NA,106.243601908043,0.885303084368639,0.5,0,103.781706494276,1.01726984612189,0.5,3.33444320434848e-17,107.467797699724,0.92214883936349,0.5,0,108.327261541664,1.25127827862154,0.5,0,107.084139674507,0.931656197153704,0.5,0,107.475562236103,0.913710182494506,0.468,0.00342857142857143,108.073510944826,1.10118684585596,0.481,0.00512894944886178,107.182723414949,0.946970040515057,0.5,0,0.00776453637936421,0.126635718554073,-0.253750596837392,0.288940801714505,0.0985837404426076,0.120888077789176,0.859463841940064,0.806091527990446,0.597948708723309,0.545543592068904,-0.383658025216979,0.111862643397228,-0.292838821153735,0.150761745873652,4.29180445055016,0.629108474957032
20,0.4,50,85.5641406611816,0.750180734880633,NA,NA,109.629524698255,0.888044434160457,0.5,0,106.961550704478,1.02182878835723,0.5,3.33444320434848e-17,110.872314443414,0.92473935660727,0.5,0,111.701557482417,1.24823074931051,0.5,0,110.475068718135,0.934261165690167,0.5,0,110.884553644872,0.916827841169175,0.45,0,111.488475215285,1.1046363023667,0.457,0.00378234351282107,110.584089100176,0.942701166289823,0.486,0.00495695759225642,0.0122392014580023,0.125236697796369,-0.21308226713276,0.289524891463675,0.109020382040719,0.119358722182747,0.829243039003366,0.790498742641759,0.603921570412604,0.530419691703715,-0.397245725279095,0.111770518889172,-0.300464544696377,0.145557754866718,4.52692451080691,0.619184303135953
20,0.65,50,87.8591619470869,0.770963444613303,NA,NA,113.511990294444,0.892660943860505,0.5,0,110.616833313399,1.02798117030208,0.5,3.33444320434848e-17,114.772331451087,0.929304086648226,0.5,0,115.567068500128,1.24603811962667,0.5,0,114.361133200766,0.938789270616151,0.5,0,114.940248807662,0.92667628529758,0.423,0.00355998165553632,115.504020497921,1.09263607173857,0.432,0.0044629998148038,114.518514282447,0.9385658499586,0.4,0,0.16791735657447,0.130383685055147,-0.0630480022070158,0.298201288671713,0.157381081680865,0.12561485615293,0.794737049041172,0.772322704376903,0.563771690259686,0.478748296325791,-0.411198250321121,0.111523690632381,-0.421734525214726,0.148554165405738,4.88718718452244,0.591907007198445
20,0.95,50,90.3468931720833,0.795892289904713,NA,NA,117.726784510087,0.899637880579284,0.5,0,114.598502868892,1.03590357488055,0.5,3.33444320434848e-17,119.001814964303,0.936381656612111,0.5,0,119.759391244006,1.24543398126799,0.5,0,118.57746159202,0.945763141383667,0.5,0,119.230580823877,0.921634199400252,0.4,0.00247435829652697,119.799721506553,1.08862019393312,0.404,0.00424744821351957,118.894804039487,0.947402208419135,0.4,0,0.228765859574149,0.114003848276859,0.040330262546775,0.308136900174054,0.317342447467171,0.123967993019466,0.757576279703313,0.752274671294806,0.569140682675939,0.458394497585443,-0.424353372282515,0.111071677479591,-0.335776784389494,0.134262780205014,5.20121863766026,0.577353457083743
