"tau_k","epsilon","seed","out_S5","out_S8","alpha_S8"
10,0.85,1,115.40169628146,114.94775685648,0.45
10,0.85,2,122.400697120689,123.264391092267,0.4
10,0.85,3,109.934601353975,109.797928377051,0.45
10,0.85,4,126.99618893153,125.906586790877,0.4
10,0.85,5,120.5176861831,121.50106232805,0.4
10,0.85,6,132.855559314449,133.60013086351,0.4
10,0.85,7,124.042326373421,124.579721027124,0.4
10,0.85,8,114.448798348048,114.18752437915,0.45
10,0.85,9,121.103539156351,119.487703115551,0.4
10,0.85,10,104.948047607617,105.278992560152,0.4
10,0.85,11,101.010989167222,100.462692584652,0.4
10,0.85,12,112.810454325223,112.220604861962,0.4
10,0.85,13,116.577936327338,116.118009132712,0.45
10,0.85,14,117.508466509078,119.370646622589,0.4
10,0.85,15,127.262894962829,127.176104816905,0.35
