"tau_k","epsilon","seed","out_S1","alpha_S1","out_S2","alpha_S2","out_S3","alpha_S3","out_S4","alpha_S4","out_S5","alpha_S5","out_S6","alpha_S6","out_S7","alpha_S7","out_S8","alpha_S8","out_S9","alpha_S9","gini_g1_S5","gini_g1_S8","fwd_vs_myo_P","fwd_vs_myo_PG","fwd_vs_myo_PS","signal_myo","signal_fwd","seed_myo","seed_fwd","optimal_vs_naive"
0.1,0.05,34,83.5952684145193,NA,107.17397103211,0.5,105.694701678398,0.5,107.469718241635,0.5,127.756501498742,0.5,109.77844855545,0.5,108.5834024387,0.5,128.440627402109,0.5,109.915816213781,0.5,0.472941176470588,0.621818181818182,1.11368419706473,0.684125903367075,0.137367658331556,20.2867832571072,19.8572249634095,2.30873031381466,1.33241377508149,22.7459257237112
0.1,0.05,35,87.3030556098573,NA,110.418365463654,0.5,108.392680352727,0.5,111.655708861486,0.5,134.763810865632,0.5,112.634127809441,0.5,114.712730669332,0.5,133.151131693551,0.5,112.558454082268,0.5,0.492631578947369,0.58,3.05702180784643,-1.61267917208113,-0.075673727172898,23.1081020041461,18.4384010242186,0.978418947954623,-2.1542765870647,24.7584513408239
0.1,0.05,36,84.5777720588481,NA,103.449474203329,0.5,101.994362226608,0.5,105.376933722424,0.5,107.536138526821,0.5,104.247958039058,0.5,105.741829790758,0.5,107.895803778336,0.5,104.046451687092,0.5,0.343703703703704,0.332413793103448,0.364896068334247,0.359665251514869,-0.201506351966017,2.1592048043973,2.15397398757793,-1.12897568336602,-1.69537810366629,5.90144155172828
0.1,0.05,37,80.5316516285945,NA,101.19891135015,0.5,97.0259938591517,0.5,100.215070969152,0.5,104.481590502535,0.5,101.300005284428,0.5,101.199193701054,0.5,104.567557568021,0.5,100.52021749047,0.5,0.268387096774193,0.254193548387097,0.984122731901735,0.0859670654855336,-0.779787793958505,4.26651953338288,3.36836386696667,1.08493431527607,-0.678976210584167,7.54156370886901
0.1,0.05,38,80.8195672549004,NA,98.9699231128938,0.5,95.2882805728902,0.5,100.251612808878,0.5,102.649451173041,0.5,99.6153213242445,0.5,100.232609087749,0.5,102.478019170268,0.5,100.092822409158,0.5,0.259354838709677,0.2475,-0.0190037211291667,-0.171432002773557,0.477501084913882,2.39783836416342,2.24541008251903,-0.636291484633162,-0.139786678590113,7.18973859737736
0.1,0.05,39,76.0452339785991,NA,95.0828471274771,0.5,92.676775137258,0.5,95.9800190388476,0.5,99.7458086587393,0.5,94.8441876349679,0.5,95.6300417463291,0.5,99.6847887572101,0.5,94.8493241185767,0.5,0.32,0.294545454545455,-0.349977292518503,-0.0610199015291784,0.00513648360876573,3.76578961989163,4.05474701088096,-1.13583140387972,-0.780717627752452,7.00801361995205
0.1,0.05,40,81.8217749508913,NA,101.563039545396,0.5,98.785535875833,0.5,102.456546054509,0.5,108.320591305559,0.5,102.121583786259,0.5,101.784019686288,0.5,108.446202165476,0.5,102.298069081456,0.5,0.382608695652174,0.394782608695652,-0.672526368220659,0.125610859916819,0.176485295196628,5.86404525105029,6.66218247918776,-0.334962268249498,0.514049395167788,9.66066628964289
0.1,0.05,41,85.8914215791789,NA,112.734394457851,0.5,112.836518998187,0.5,113.317707866132,0.5,124.813133286623,0.5,112.093626181519,0.5,112.269092737209,0.5,125.025500427347,0.5,114.040354418953,0.5,0.43764705882353,0.43578947368421,-1.04861512892333,0.212367140724183,1.94672823743355,11.495425420491,12.7564076901386,-1.22408168461293,1.77126168174395,12.18898142916
0.1,0.05,42,85.7066491243208,NA,113.060352749038,0.5,110.677229505623,0.5,115.672513346833,0.5,123.419786546479,0.5,114.915557794507,0.5,114.607899969399,0.5,123.54666232789,0.5,114.76446643806,0.5,0.338947368421053,0.332,-1.06461337743411,0.126875781411485,-0.151091356446656,7.74727319964559,8.93876235849119,-0.756955552326176,0.156566468661282,12.8694328222669
0.1,0.05,43,80.9381893469591,NA,100.910213527615,0.5,99.3840212875517,0.5,101.641305470067,0.5,105.576968970393,0.5,100.937178087949,0.5,101.764661320983,0.5,105.627170289858,0.5,101.228341915219,0.5,0.422608695652174,0.354285714285714,0.123355850915416,0.0502013194653017,0.291163827269372,3.9356635003258,3.86250896887569,-0.704127382118173,-0.536319405764218,6.24314900230684
0.1,0.05,44,81.6002862016079,NA,99.2609998487606,0.5,95.8850051534254,0.5,101.18341407956,0.5,116.585482569638,0.5,100.229963333258,0.5,99.9586838548804,0.5,116.738008217655,0.5,101.669650362672,0.5,0.527619047619048,0.493913043478261,-1.22473022467945,0.152525648016834,1.4396870294145,15.4020684900781,16.7793243627744,-0.953450746301954,1.71096650779199,20.8530030642294
0.1,0.05,45,85.4158529988797,NA,103.864652891138,0.5,100.195672574655,0.5,105.891049366796,0.5,148.677219889535,0.5,103.935256499859,0.5,105.322222079867,0.5,135.485522377734,0.5,105.204152786893,0.5,0.6,0.645,-0.568827286929036,-13.191697511801,1.26889628703434,42.7861705227388,30.1633002978669,-1.95579286693706,-0.118069292973686,35.2898498030789
0.1,0.05,46,81.9046293939003,NA,103.774271754532,0.5,101.617373665411,0.5,105.591255167536,0.5,113.190388716485,0.5,105.15690193695,0.5,104.744776680818,0.5,113.185554974527,0.5,105.422368825077,0.5,0.448421052631579,0.455555555555555,-0.846478486718624,-0.00483374195800934,0.265466888127605,7.59913354894842,8.44077829370903,-0.434353230586552,0.677592144259677,11.5681813091151
0.1,0.05,47,77.8995364276236,NA,100.757910315233,0.5,99.4223438919467,0.5,101.826053743318,0.5,109.373425237161,0.5,101.113022270018,0.5,102.442618637952,0.5,109.25013959032,0.5,100.496641927497,0.5,0.418181818181818,0.393333333333333,0.61656489463401,-0.12328564684104,-0.616380342521097,7.54737149384253,6.80752095236748,-0.713031473299935,-1.94597671045504,9.82779569837294
0.1,0.05,48,83.0054306112622,NA,104.789143883946,0.5,101.612508834071,0.5,105.298778317541,0.5,115.037762556443,0.5,104.623787621686,0.5,106.677759532564,0.5,114.999848426532,0.5,105.303030635869,0.5,0.48,0.451428571428571,1.37898121502323,-0.0379141299112575,0.679243014182859,9.73898423890275,8.32208889396826,-0.674990695855001,-1.37472889669537,13.3873395924611
0.1,0.05,49,81.74595058514,NA,103.376328945938,0.5,100.685985453278,0.5,106.357700081394,0.5,114.854280537847,0.5,104.836573599104,0.5,106.94650785025,0.5,115.103871079773,0.5,105.536773065147,0.5,0.424,0.437894736842105,0.588807768856626,0.249590541925272,0.700199466042903,8.49658045645387,8.15736322952252,-1.52112648228913,-1.40973478510286,14.417885626495
0.1,0.05,50,76.8263509794977,NA,95.2182844073379,0.5,91.1262133693777,0.5,96.3625154144017,0.5,98.7811900222099,0.5,96.4616377450528,0.5,96.2969146157945,0.5,98.6549722601777,0.5,96.4078797377217,0.5,0.254117647058824,0.238857142857143,-0.0656007986071359,-0.126217762032127,-0.0537580073311403,2.41867460780817,2.35805764438318,0.0991223306511557,0.110965121927151,7.52875889079999
1,0.05,1,80.8762001017361,NA,102.944486107623,0.5,100.579795196235,0.5,103.941325383841,0.5,107.970172116924,0.5,103.284978518592,0.5,103.225887243673,0.5,107.618530196663,0.5,103.481610459421,0.5,0.333333333333333,0.358620689655172,-0.715438140167549,-0.351641920261486,0.19663194082861,4.02884673308323,4.39264295298929,-0.656346865248807,0.255723215747352,7.03873500042715
1,0.05,2,86.2327020234782,NA,109.102028565489,0.5,107.247752183403,0.5,109.31976904258,0.5,115.336192315641,0.5,110.111095354377,0.5,110.140117740226,0.5,115.518581594592,0.5,110.116287831793,0.5,0.371851851851852,0.371428571428571,0.82034869764594,0.182389278951092,0.00519247741578965,6.01642327306038,5.37846385436553,0.791326311797121,-0.0238299084330293,8.27082941118873
1,0.05,3,77.2388420402395,NA,95.5016475073475,0.5,89.9771984803972,0.5,96.4391551197968,0.5,97.3486363487533,0.5,95.5025254078651,0.5,96.2434071613514,0.5,97.4889205387368,0.5,95.2693580577681,0.5,0.145714285714286,0.143809523809524,-0.195747958445423,0.140284189983504,-0.233167350097006,0.909481228956437,1.24551337738536,-0.936629711931758,-0.97404910358334,7.51172205833953
1,0.05,4,89.2209948742652,NA,113.563590208087,0.5,114.171837755431,0.5,112.965811823327,0.5,124.947066944264,0.5,114.125526850539,0.5,113.101644940785,0.5,124.922850171216,0.5,113.563639421063,0.5,0.471304347826087,0.4384,0.135833117458759,-0.0242167730482805,-0.561887429475959,11.9812551209379,11.8212052304308,1.15971502721244,0.461994480277724,10.7510124157855
